id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
401507368,s:40~l:59~e:401507368~c:401507368,2023-09-10T19:00Z,0,TRUE,TRUE,FALSE,FALSE,2023-09-10T19:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 3:00 PM EDT",9/10 - 3:00 PM EDT,4,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,TRUE,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,0,,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,TRUE,1949,0,,401507368,2023,2,5060,T-Mobile Arena,Las Vegas,NV,19000,TRUE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,,FALSE,2023-09-10T19:00:00Z,2023-09-10,FALSE,FALSE
401507369,s:40~l:59~e:401507369~c:401507369,2023-09-10T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-10T19:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 3:00 PM EDT",9/10 - 3:00 PM EDT,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,0,,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,TRUE,1841,0,,401507369,2023,2,7224,Climate Pledge Arena,Seattle,WA,18100,TRUE,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,FALSE,2023-09-10T19:00:00Z,2023-09-10,FALSE,FALSE
401507364,s:40~l:59~e:401507364~c:401507364,2023-09-10T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-10T17:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 1:00 PM EDT",9/10 - 1:00 PM EDT,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,0,,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,TRUE,3416,0,,401507364,2023,2,6282,Gateway Center,College Park,GA,3500,TRUE,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,,FALSE,2023-09-10T17:00:00Z,2023-09-10,FALSE,FALSE
401507365,s:40~l:59~e:401507365~c:401507365,2023-09-10T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-10T17:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 1:00 PM EDT",9/10 - 1:00 PM EDT,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,0,,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,977,0,,401507365,2023,2,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,4f91cd,f1f2f3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,FALSE,2023-09-10T17:00:00Z,2023-09-10,FALSE,FALSE
401507366,s:40~l:59~e:401507366~c:401507366,2023-09-10T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-10T17:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 1:00 PM EDT",9/10 - 1:00 PM EDT,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,0,,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,0,,401507366,2023,2,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,FALSE,2023-09-10T17:00:00Z,2023-09-10,FALSE,FALSE
401507367,s:40~l:59~e:401507367~c:401507367,2023-09-10T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-10T17:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Sun, September 10th at 1:00 PM EDT",9/10 - 1:00 PM EDT,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,0,,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,TRUE,1823,0,,401507367,2023,2,3559,Barclays Center,Brooklyn,NY,17732,TRUE,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,FALSE,2023-09-10T17:00:00Z,2023-09-10,FALSE,FALSE
401507363,s:40~l:59~e:401507363~c:401507363,2023-09-09T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-09T02:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Fri, September 8th at 10:00 PM EDT",9/8 - 10:00 PM EDT,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,0,,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,TRUE,780,0,,401507363,2023,2,1949,Footprint Center,Phoenix,AZ,17071,TRUE,000000,c7cfd4,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,,FALSE,2023-09-09T02:00:00Z,2023-09-08,FALSE,FALSE
401507361,s:40~l:59~e:401507361~c:401507361,2023-09-09T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-09T00:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Fri, September 8th at 8:00 PM EDT",9/8 - 8:00 PM EDT,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,0,,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,0,,401507361,2023,2,5427,Wintrust Arena,Chicago,IL,10387,TRUE,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,FALSE,2023-09-09T00:00:00Z,2023-09-08,FALSE,FALSE
401507362,s:40~l:59~e:401507362~c:401507362,2023-09-09T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-09T00:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Fri, September 8th at 8:00 PM EDT",9/8 - 8:00 PM EDT,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,0,,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,2184,0,,401507362,2023,2,3416,College Park Center,Arlington,TX,0,TRUE,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,FALSE,2023-09-09T00:00:00Z,2023-09-08,FALSE,FALSE
401507359,s:40~l:59~e:401507359~c:401507359,2023-09-08T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2023-09-08T23:00Z,"","",1,STD,0,0,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,"Fri, September 8th at 7:00 PM EDT",9/8 - 7:00 PM EDT,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,0,,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,2183,0,,401507359,2023,2,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,FALSE,2023-09-08T23:00:00Z,2023-09-08,FALSE,FALSE
