id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,game_json,game_json_url,game_date_time,game_date,PBP,team_box,player_box
270916003,s:40~l:59~e:270916003~c:270916003,2007-09-16T20:30Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-16T20:30Z,event,FINALS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,,92,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,108,TRUE,270916003,2007,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270916003.json,2007-09-16T20:30:00Z,2007-09-16,TRUE,TRUE,TRUE
270913011,s:40~l:59~e:270913011~c:270913011,2007-09-14T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-14T00:30Z,event,FINALS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,77,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,76,FALSE,270913011,2007,3,,,,,,,11213e,c5d646,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270913011.json,2007-09-14T00:30:00Z,2007-09-13,TRUE,TRUE,TRUE
270911011,s:40~l:59~e:270911011~c:270911011,2007-09-12T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-12T01:00Z,event,FINALS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,83,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,88,TRUE,270911011,2007,3,,,,,,,11213e,c5d646,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270911011.json,2007-09-12T01:00:00Z,2007-09-11,TRUE,TRUE,TRUE
270908003,s:40~l:59~e:270908003~c:270908003,2007-09-08T19:30Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-08T19:30Z,event,FINALS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,,70,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,98,TRUE,270908003,2007,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270908003.json,2007-09-08T19:30:00Z,2007-09-08,TRUE,TRUE,TRUE
270905003,s:40~l:59~e:270905003~c:270905003,2007-09-05T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-05T23:30Z,event,FINALS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,,108,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,100,FALSE,270905003,2007,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270905003.json,2007-09-05T23:30:00Z,2007-09-05,TRUE,TRUE,TRUE
270903003,s:40~l:59~e:270903003~c:270903003,2007-09-03T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-03T22:00Z,event,PLAYOFFS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,,81,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,65,FALSE,270903003,2007,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270903003.json,2007-09-03T22:00:00Z,2007-09-03,TRUE,TRUE,TRUE
270902003,s:40~l:59~e:270902003~c:270902003,2007-09-02T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-02T17:00Z,event,PLAYOFFS,1,STD,572,9:32,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,,77,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,63,FALSE,270902003,2007,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270902003.json,2007-09-02T17:00:00Z,2007-09-02,TRUE,TRUE,TRUE
270901011,s:40~l:59~e:270901011~c:270901011,2007-09-01T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-01T23:00Z,event,PLAYOFFS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,98,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,780,92,FALSE,270901011,2007,3,,,,,,,000000,c7cfd4,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270901011.json,2007-09-01T23:00:00Z,2007-09-01,TRUE,TRUE,TRUE
270831005,s:40~l:59~e:270831005~c:270831005,2007-09-01T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-09-01T00:00Z,event,PLAYOFFS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,75,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,65,FALSE,270831005,2007,3,,,,,,,11213e,c5d646,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270831005.json,2007-09-01T00:00:00Z,2007-08-31,TRUE,TRUE,TRUE
270830017,s:40~l:59~e:270830017~c:270830017,2007-08-31T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2007-08-31T00:00Z,event,PLAYOFFS,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,,100,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,102,TRUE,270830017,2007,3,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/270830017.json,2007-08-31T00:00:00Z,2007-08-30,TRUE,TRUE,TRUE
